TimeStep PE_total KE_total ETOT
# Fix print output for fix energy_init
0 -231110.648097497 8.05567130683244 -231102.59242619
# Fix print output for fix energy_out
71000 -231112.119258886 7.92698861220492 -231104.192270274
72000 -231112.407156619 8.21693769259051 -231104.190218926
73000 -231112.603696821 8.26915063045856 -231104.334546191
74000 -231112.63075423 8.05451697966053 -231104.57623725
75000 -231112.411291362 7.87008033635816 -231104.541211026
76000 -231112.014105403 7.76672146280761 -231104.24738394
77000 -231112.598545299 7.99730285326066 -231104.601242446
78000 -231112.953852702 8.0796795860511 -231104.874173116
79000 -231113.101137962 8.06433230381866 -231105.036805658
80000 -231113.145835744 7.84243598000471 -231105.303399764
81000 -231112.917309458 7.79381513014697 -231105.123494328
82000 -231112.77773177 7.5875250570087 -231105.190206713
83000 -231112.717087949 7.73869419762684 -231104.978393751
84000 -231112.795615685 7.7889085277611 -231105.006707157
85000 -231112.904392633 7.7065453924851 -231105.197847241
86000 -231112.920794384 7.71133262856899 -231105.209461755
87000 -231113.029527127 7.97302863341122 -231105.056498494
88000 -231112.822044745 7.88055662951431 -231104.941488115
89000 -231112.541714265 7.78705769720167 -231104.754656568
90000 -231112.595624798 7.69917332402692 -231104.896451474
91000 -231112.352021935 7.63993100337767 -231104.712090932
92000 -231112.419378094 7.96586780114859 -231104.453510293
93000 -231112.808881591 8.17783181492747 -231104.631049776
94000 -231113.470636067 8.3403724347726 -231105.130263632
95000 -231113.695759767 8.25119107223712 -231105.444568695
96000 -231113.647779049 8.07048870591199 -231105.577290343
97000 -231113.063510182 7.83272958345244 -231105.230780599
98000 -231112.696125327 7.7414292805217 -231104.954696046
99000 -231112.757045901 8.01690202499971 -231104.740143876
100000 -231113.148458085 8.05932146687508 -231105.089136618
101000 -231113.488156628 7.79946861876146 -231105.688688009
102000 -231113.910626608 7.6852772568551 -231106.225349351
103000 -231113.659882233 7.49360867372 -231106.166273559
104000 -231113.45213699 7.69468268650753 -231105.757454304
105000 -231113.204450409 7.93740802222461 -231105.267042387
106000 -231113.025500345 7.89643088517284 -231105.12906946
107000 -231113.07759667 7.79333809751774 -231105.284258572
108000 -231113.144440078 7.64429037920024 -231105.500149699
109000 -231113.349619992 7.6371726105032 -231105.712447381
110000 -231113.538325936 7.82368204478435 -231105.714643891
111000 -231113.369351282 8.02013706619868 -231105.349214216
112000 -231113.159806201 8.05014997853342 -231105.109656222
113000 -231112.917447427 7.9262947644857 -231104.991152663
114000 -231113.168536568 7.91202350035502 -231105.256513068
115000 -231113.427935362 7.93220651293732 -231105.495728849
116000 -231113.843966626 8.15755230360327 -231105.686414322
117000 -231114.289465429 8.27064127308111 -231106.018824156
118000 -231114.105268114 8.11521654468436 -231105.990051569
119000 -231113.908462432 7.91855431954633 -231105.989908112
120000 -231113.445184758 7.69577414613502 -231105.749410612
121000 -231113.245541373 7.63140309976426 -231105.614138273
122000 -231113.70913515 7.69368385573909 -231106.015451294
123000 -231114.105920849 7.8174909066129 -231106.288429942
124000 -231114.025179598 7.6772685020401 -231106.347911096
125000 -231113.785670944 7.63990433644553 -231106.145766608
126000 -231113.581249401 7.78087032621071 -231105.800379075
127000 -231113.707282307 7.79220192641822 -231105.915080381
128000 -231113.791537905 7.87298722000207 -231105.918550685
129000 -231113.912068744 7.83586398172176 -231106.076204762
130000 -231113.869647307 7.79093381471552 -231106.078713492
131000 -231114.291460209 7.89716842831302 -231106.394291781
132000 -231114.410623042 8.12140853045886 -231106.289214512
133000 -231114.112022288 8.14931504351159 -231105.962707245
134000 -231114.033371501 8.08057277011268 -231105.952798731
135000 -231113.785333055 7.84614907645131 -231105.939183979
136000 -231113.647180841 7.75198888379311 -231105.895191957
137000 -231113.83304919 7.83933114423198 -231105.993718046
138000 -231114.215848971 8.12187860772892 -231106.093970363
139000 -231114.664703875 8.28505611101215 -231106.379647764
140000 -231114.421923852 8.00034690421224 -231106.421576948
141000 -231114.078895703 7.67348111202223 -231106.405414591
142000 -231113.730971113 7.5210348916797 -231106.209936221
143000 -231113.882723425 7.70259204773827 -231106.180131377
144000 -231114.039546355 7.94173040174526 -231106.097815953
145000 -231114.138142058 7.93031070805013 -231106.20783135
146000 -231114.175643638 7.74601045198156 -231106.429633186
147000 -231114.110084607 7.60184078167431 -231106.508243825
148000 -231113.995294436 7.52228881982306 -231106.473005616
149000 -231113.962578906 7.71870213341762 -231106.243876773
150000 -231113.928551892 7.93389545326446 -231105.994656439
151000 -231113.933885425 8.00496285674876 -231105.928922568
152000 -231114.071892169 7.88302731189271 -231106.188864857
153000 -231114.348215018 7.89867533837659 -231106.44953968
154000 -231114.500807865 7.8985517334828 -231106.602256132
155000 -231114.526303027 7.98225928298383 -231106.544043744
156000 -231114.680664434 8.11546331051428 -231106.565201124
157000 -231114.470977261 8.0940149214846 -231106.37696234
158000 -231114.415281365 7.97746259922027 -231106.437818766
159000 -231114.137962043 7.80706093065723 -231106.330901112
160000 -231114.258871832 7.81669707847503 -231106.442174754
161000 -231114.3027716 7.80845211326851 -231106.494319487
162000 -231114.498136787 7.84741455424244 -231106.650722233
163000 -231114.338851125 7.74880408589224 -231106.590047039
164000 -231114.133827019 7.72445482218231 -231106.409372197
165000 -231114.085385211 7.84687379080212 -231106.23851142
