TimeStep,e,s_raw,s_sm,s_trend,E_tan,delta_sigma_serr,S_rms,A_sigma,A_sigma_norm,e_pol,P_obs,P_sm,R_P,A_P,A_P_norm
300000,0.0059509799999999,0.405312441946444,0.39927632537937663,0.40257481569350567,82.37729769359161,0.00273762625293833,0.0051826829353956395,2.5186327913173322e-05,0.13970746113234803,0.0059509799999999,0.0155,0.01609264069264067,-0.2589869005453563,0.005547218333262294,0.043272402858444824
305000,0.00605098,0.40633877310372,0.4081631532544618,0.4109066831871369,82.51433471168765,-0.004567910083416893,0.005200866114433457,2.5705505365665296e-05,0.14258731579059206,,,,,,
310000,0.00615098,0.417055117388502,0.41672641896421714,0.4194281729809736,82.4660093236267,-0.00237305559247164,0.005078101589782322,2.6219453750876087e-05,0.1454381650409631,0.00615098,0.0163,0.01670259740259738,-0.13575926238263947,0.005586692949555113,0.04358033404057676
315000,0.0062509799999999,0.417860244725797,0.42758886818858,0.4276797604985639,82.36918572049888,-0.009819515772766851,0.005251170464905527,2.673591735360996e-05,0.14830296609310362,,,,,,
320000,0.0063509799999999,0.445923203042963,0.43739614566034657,0.436151217274781,82.20425711662243,0.009771985768182001,0.005200939335568032,2.7258522843633638e-05,0.15120183592584518,0.0063509799999999,0.0196,0.017768831168831142,0.06092651936807158,0.0056063615277301745,0.043733763487069005
325000,0.00645098,0.448761119407839,0.4484223966419785,0.44456073548769814,81.88683505962746,0.004200383920140882,0.005154889554590826,2.7776314288142098e-05,0.15407400245832698,,,,,,
330000,0.00655098,0.460330984302572,0.45854678821562467,0.45300745798298525,81.56319836823506,0.007323526319586771,0.004796960602767381,2.8273906796010004e-05,0.15683412637128305,0.00655098,0.0182,0.018572294372294344,0.35881823803902607,0.005648336003470905,0.04406119542050018
335000,0.0066509799999999,0.463329122045461,0.46758137259486077,0.46096188323665593,81.15429463370937,0.002367238808805072,0.0045481817409342195,2.874116391319462e-05,0.15942598119676316,,,,,,
340000,0.0067509799999999,0.473826676779812,0.473047522774764,0.46878658089549385,80.44045304012182,0.005040095884318141,0.004543019967611684,2.9195723998621916e-05,0.161947406141522,0.0067509799999999,0.0185,0.018822943722943696,0.8199387192893429,0.005766211699203684,0.0449807129672286
345000,0.00685098,0.482603558318169,0.4799756358740801,0.4765186055842426,79.7630696927166,0.0060849527339263965,0.004537823963635113,2.9649766195184705e-05,0.16446595837936387,,,,,,
350000,0.00695098,0.486032101193605,0.48745219629241776,0.48382017065746064,78.99466549207277,0.0022119305361443797,0.004789373218178249,3.0116126054275373e-05,0.16705283615337707,0.00695098,0.019,0.018596969696969674,1.4319474897396958,0.0059914003201067,0.046737350643525404
355000,0.0070509799999999,0.49357935148107,0.4946342085517442,0.4913275596831574,78.50147828272475,0.002251791797912628,0.004755456399400376,3.059336753515383e-05,0.16970007380828342,,,,,,
360000,0.0071509799999999,0.499938122455605,0.5012795724738645,0.498984338474129,78.28117118982071,0.0009537839814759974,0.004795464514599768,3.1070913580853836e-05,0.1723490008709556,0.0071509799999999,0.0183,0.01829393939393937,2.1169224714679156,0.006346287316227283,0.049505731504482425
365000,0.00725098,0.512896500905161,0.5083164420032085,0.5066317469139829,78.60042148960146,0.006264753991178096,0.004988948014474187,3.156013420730802e-05,0.17506268632328162,,,,,,
370000,0.00735098,0.512635665579471,0.5160503377981145,0.5147444035348174,79.36977165475125,-0.0021087379553463848,0.004545378123326202,3.203685051419805e-05,0.1777070108610067,0.00735098,0.0178,0.018522077922077898,2.7891072131331818,0.006836890284687639,0.05333279725516118
375000,0.0074509799999999,0.524196913274883,0.5235330628148471,0.5227094311015825,80.52374364941281,0.001487482173300525,0.005082787960529618,3.2518258818390354e-05,0.18037736170288385,,,,,,
380000,0.0075509799999999,0.530635871730998,0.5314051650493533,0.5303466608887213,81.46921385741778,0.00028921084227673255,0.0056148572443809565,3.3053141078635885e-05,0.18334433024396085,0.0075509799999999,0.0182,0.018319480519480492,3.3610895597908494,0.007451909961979734,0.058130405289096826
385000,0.00765098,0.538606248871541,0.5373579930602782,0.5387862301479269,82.40344810094467,-0.0001799812763859654,0.0054574816229504206,3.3606758022003006e-05,0.18641521925423288,,,,,,
390000,0.00775098,0.546534793175949,0.5460071628559591,0.547065976209425,83.22290304900206,-0.0005311830334759904,0.005485948597850825,3.415392953304307e-05,0.189450355732837,0.00775098,0.0192,0.018091341991341964,3.802628324056892,0.008168281750364867,0.0637186346972578
395000,0.0078509799999999,0.553438336513535,0.5532722082768605,0.5551600877303083,84.08555959673825,-0.001721751216773315,0.005603593069144991,3.4708406616392304e-05,0.1925260159020304,,,,,,
400000,0.0079509799999999,0.556282338351924,0.5604373471255732,0.5637884210564065,84.91310404839933,-0.007506082704482497,0.006228440494371733,3.5300008294568134e-05,0.19580760457762103,0.0079509799999999,0.0183,0.017762337662337632,4.176907291842343,0.008966235311954387,0.06994326223217691
405000,0.00805098,0.573194689011956,0.568985778387399,0.5723602657882438,86.07253327637694,0.0008344232237121885,0.007236509983727771,3.597325581847378e-05,0.19954207919427613,,,,,,
